source,held_out_from_adaptation,gpu,model,n,correct,accuracy,wilson_low,wilson_high,nll
banking77,False,6000,base,100,70,0.7,0.6041514536665332,0.7810511470506724,1.2762164672561795
clinc150,False,6000,base,100,87,0.87,0.7901964855992357,0.9224283257275948,0.6559245719692691
ledgar,True,6000,base,100,68,0.68,0.5833738138954762,0.7633085267500092,1.1326004654839967
go_emotions,True,6000,base,100,25,0.25,0.17545211362287672,0.34304463548061603,3.164475471325722
mmlu,False,6000,base,100,72,0.72,0.6251197129007884,0.7986031478881379,0.7125135072612827
arc_challenge,False,6000,base,100,93,0.93,0.8625048526092651,0.9656807389327273,0.3255490984870346
mnli,True,6000,base,100,86,0.86,0.7786281178903616,0.9147365634006086,0.417973772243224
sst5,True,6000,base,100,43,0.43,0.33733298524110106,0.5278461045078768,1.370790474666076
helpsteer2_helpfulness,False,6000,base,100,30,0.3,0.2189488529493276,0.3958485463334666,1.6775281474182007
measuring_hate_speech,False,6000,base,100,47,0.47,0.3751081795934127,0.5671114302990063,1.0483954173539243
boolq,False,6000,base,100,73,0.73,0.6356788323205499,0.8073041585042365,0.4849747099648335
fever_evidence,True,6000,base,100,93,0.93,0.8625048526092651,0.9656807389327273,0.27927481520911257
civil_comments,False,6000,base,100,86,0.86,0.7786281178903616,0.9147365634006086,0.3740741609790134
sms_spam,True,6000,base,100,95,0.95,0.8882495307680808,0.9784563208456319,0.27253060867815326
chaosnli,True,6000,base,100,55,0.55,0.45244602997442135,0.6438546202048803,0.9145909718782899
banking77,False,6000,adapter,100,74,0.74,0.6462901055081282,0.8159530153525186,1.037440886842366
clinc150,False,6000,adapter,100,86,0.86,0.7786281178903616,0.9147365634006086,0.5637697335617674
ledgar,True,6000,adapter,100,72,0.72,0.6251197129007884,0.7986031478881379,1.075542603509257
go_emotions,True,6000,adapter,100,28,0.28,0.20139685211186212,0.3748802870992116,3.1420189541996053
mmlu,False,6000,adapter,100,79,0.79,0.7002003116591013,0.858343459380847,0.6078960907403036
arc_challenge,False,6000,adapter,100,92,0.92,0.8500189229905127,0.9589065385156194,0.21927787910473973
mnli,True,6000,adapter,100,88,0.88,0.8018790057328857,0.9300059356298052,0.3315407363212705
sst5,True,6000,adapter,100,44,0.44,0.34672026630160796,0.5377189534832302,1.208436461652121
helpsteer2_helpfulness,False,6000,adapter,100,40,0.4,0.3094012864324589,0.4979974132089382,1.3420274710639553
measuring_hate_speech,False,6000,adapter,100,80,0.8,0.7111708344068411,0.8666330666689676,0.5327594326123637
boolq,False,6000,adapter,100,81,0.81,0.7222115462093562,0.8748524849023126,0.37893344443077015
fever_evidence,True,6000,adapter,100,99,0.99,0.9455138038212946,0.9982325679358593,0.0981714776811852
civil_comments,False,6000,adapter,100,93,0.93,0.8625048526092651,0.9656807389327273,0.2659947885866779
sms_spam,True,6000,adapter,100,95,0.95,0.8882495307680808,0.9784563208456319,0.18849263083721474
chaosnli,True,6000,adapter,100,57,0.57,0.47215389549212305,0.6626670147588988,0.843940421587715
banking77,False,4090,base,100,69,0.69,0.5937394428051057,0.7722030278762395,1.2699462782856958
clinc150,False,4090,base,100,87,0.87,0.7901964855992357,0.9224283257275948,0.6602009590564663
ledgar,True,4090,base,100,67,0.67,0.5730534379509052,0.7543687726587197,1.1354095135607754
go_emotions,True,4090,base,100,25,0.25,0.17545211362287672,0.34304463548061603,3.169332380076113
mmlu,False,4090,base,100,72,0.72,0.6251197129007884,0.7986031478881379,0.7124975955095466
arc_challenge,False,4090,base,100,93,0.93,0.8625048526092651,0.9656807389327273,0.32466997639831846
mnli,True,4090,base,100,86,0.86,0.7786281178903616,0.9147365634006086,0.41905200401691656
sst5,True,4090,base,100,43,0.43,0.33733298524110106,0.5278461045078768,1.3706128578889243
helpsteer2_helpfulness,False,4090,base,100,31,0.31,0.22779697212376038,0.40626055719489407,1.6809688762633457
measuring_hate_speech,False,4090,base,100,46,0.46,0.36560808309024106,0.5573513967663177,1.049979605385041
boolq,False,4090,base,100,73,0.73,0.6356788323205499,0.8073041585042365,0.4848336358119155
fever_evidence,True,4090,base,100,92,0.92,0.8500189229905127,0.9589065385156194,0.2810066119061128
civil_comments,False,4090,base,100,86,0.86,0.7786281178903616,0.9147365634006086,0.3739922322616072
sms_spam,True,4090,base,100,95,0.95,0.8882495307680808,0.9784563208456319,0.2720725747331008
chaosnli,True,4090,base,100,55,0.55,0.45244602997442135,0.6438546202048803,0.9151095661281926
banking77,False,4090,adapter,100,74,0.74,0.6462901055081282,0.8159530153525186,1.0250113431179269
clinc150,False,4090,adapter,100,86,0.86,0.7786281178903616,0.9147365634006086,0.5614601204749053
ledgar,True,4090,adapter,100,72,0.72,0.6251197129007884,0.7986031478881379,1.0747701671999956
go_emotions,True,4090,adapter,100,28,0.28,0.20139685211186212,0.3748802870992116,3.1380323352677038
mmlu,False,4090,adapter,100,78,0.78,0.6892964648501421,0.8499871761539459,0.6097552125879052
arc_challenge,False,4090,adapter,100,92,0.92,0.8500189229905127,0.9589065385156194,0.22010901795162796
mnli,True,4090,adapter,100,87,0.87,0.7901964855992357,0.9224283257275948,0.3324845328390326
sst5,True,4090,adapter,100,44,0.44,0.34672026630160796,0.5377189534832302,1.2109513624906114
helpsteer2_helpfulness,False,4090,adapter,100,40,0.4,0.3094012864324589,0.4979974132089382,1.341868354894907
measuring_hate_speech,False,4090,adapter,100,80,0.8,0.7111708344068411,0.8666330666689676,0.533167963116465
boolq,False,4090,adapter,100,81,0.81,0.7222115462093562,0.8748524849023126,0.37869113293138557
fever_evidence,True,4090,adapter,100,99,0.99,0.9455138038212946,0.9982325679358593,0.09840377109274051
civil_comments,False,4090,adapter,100,93,0.93,0.8625048526092651,0.9656807389327273,0.2659790590462156
sms_spam,True,4090,adapter,100,95,0.95,0.8882495307680808,0.9784563208456319,0.188852575829237
chaosnli,True,4090,adapter,100,57,0.57,0.47215389549212305,0.6626670147588988,0.8411408067813727
